slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://zksync.blockscout.com/)""]",mainnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/zksync)""]",mainnet,,,,,,,,,,,
