slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
quicknode-build-recent-state,,!offer:quicknode-build-recent-state,,,,,,,nova,,,,,,,,,,,,,,,,,,,
quicknode-scale-recent-state,,!offer:quicknode-scale-recent-state,,,,,,,nova,,,,,,,,,,,,,,,,,,,
