slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
backpack,,!offer:backpack,,,,,,,,,,,,,,,,,,,
bitget-wallet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,,,,,,,,,,,,,,,,,,
okxwallet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,,,,,,,,,,,,,,,,,,
