slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/use-real-time-data/starknet/)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/use-real-time-data/starknet/)""]",testnet,,,,,,,,,,,,
