slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,,mainnet,,,,,,,,,,,,
chronicle-testnet,,!offer:chronicle,,testnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,,mainnet,,,,,,,,,,,,
