slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
foxwallet,,!offer:foxwallet,"[""[Docs](https://docs.lumia.org/build/introduction/setup-foxwallet-with-lumia-chain)""]",,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,"[""[Docs](https://docs.lumia.org/build/build-environment/add-lumia-network-to-metamask)""]",,,,,,,,,,,,,,,,,,
