slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
lumia-explorer-mainnet,,!offer:lumia-explorer,"[""[Explore](https://explorer.lumia.org/)""]",mainnet,,,,,,,,,,,
lumia-explorer-testnet,,!offer:lumia-explorer,"[""[Explore](https://beam-explorer.lumia.org/)""]",testnet,,,,,,,,,,,
