slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/hyperliquid-mainnet)""]",mainnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/hyperevm)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://app.redstone.finance/push-feeds?size=32&networks=43114,hyperevm&testnets=true)""]",mainnet,,,,,,,,,,,,
