slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
dia-mainnet,,!offer:dia,"[""[Guide](https://www.diadata.org/docs/guides/chain-specific-guide/fuse)""]",mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Networks](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,,,,,,,,,,,,
