slug,network,displayName,offer,provider,dataType,chain,networkTier,enabled,apiType,description,apiDocs,apiReference,versioning,support,responseFormat,sla,auth,rateLimit,pricing,pageUrl,mcpEndpoint,mcpTransport,actionButtons
near-mainnet-rpc,near,NEAR RPC,none,NEAR,blockchain-data,mainnet,mainnet,TRUE,JSON-RPC,Official public RPC endpoint for NEAR mainnet,https://docs.near.org/api/rpc/introduction,https://rpc.mainnet.near.org,none,community,JSON-RPC 2.0,none,none,none,free,"https://docs.near.org/api/rpc/introduction",none,none,"[""[Docs](https://docs.near.org/api/rpc/introduction)""]"
near-mainnet-archival-rpc,near,NEAR Archival RPC,none,NEAR,blockchain-data,mainnet,mainnet,TRUE,JSON-RPC,Official archival RPC endpoint for NEAR mainnet,https://docs.near.org/api/rpc/introduction,https://archival-rpc.mainnet.near.org,none,community,JSON-RPC 2.0,none,none,none,free,"https://docs.near.org/api/rpc/introduction",none,none,"[""[Docs](https://docs.near.org/api/rpc/introduction)""]"
near-testnet-rpc,near,NEAR Testnet RPC,none,NEAR,blockchain-data,testnet,testnet,TRUE,JSON-RPC,Official public RPC endpoint for NEAR testnet,https://docs.near.org/api/rpc/introduction,https://rpc.testnet.near.org,none,community,JSON-RPC 2.0,none,none,none,free,"https://docs.near.org/api/rpc/introduction",none,none,"[""[Docs](https://docs.near.org/api/rpc/introduction)""]"
fastnear-mainnet-rpc,near,FASTNEAR RPC,none,FastNEAR,blockchain-data,mainnet,mainnet,TRUE,JSON-RPC,Community high-performance RPC endpoint for NEAR mainnet,https://docs.near.org/api/rpc/introduction,https://rpc.fastnear.com,none,community,JSON-RPC 2.0,none,none,none,free,"https://docs.near.org/api/rpc/introduction",none,none,"[""[Docs](https://docs.near.org/api/rpc/introduction)""]"
fastnear-testnet-rpc,near,FASTNEAR Testnet RPC,none,FastNEAR,blockchain-data,testnet,testnet,TRUE,JSON-RPC,Community high-performance RPC endpoint for NEAR testnet,https://docs.near.org/api/rpc/introduction,https://test.rpc.fastnear.com,none,community,JSON-RPC 2.0,none,none,none,free,"https://docs.near.org/api/rpc/introduction",none,none,"[""[Docs](https://docs.near.org/api/rpc/introduction)""]"
