slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
foundry,Foundry,!offer:foundry,"[Guide](https://docs.mintchain.io/deploy/use-foundry)",,,,,,,,,FALSE,,,,,
hardhat,Hardhat,!offer:hardhat,"[Guide](https://docs.mintchain.io/deploy/use-hardhat)",,,,,,,,,FALSE,,,,,
