slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,Blockscout,!offer:blockscout,"[Website](https://explorer.mintchain.io)",mainnet,,,,FALSE,,,,,,,mint
blockscout-testnet,Blockscout,!offer:blockscout,"[Website](https://sepolia-testnet-explorer.mintchain.io)",testnet,,,,FALSE,,,,,,,mint
